# Harris-Priester coefficients from local MATLAB HPOP HPcoeff.m
# density columns are HPOP gram/km^3 values; runtime converts to kg/m^3.
f107,altitude_km,rho_min_g_km3,rho_max_g_km3
225,3.6000000e+02,1.0570000e-02,2.3420000e-02
225,3.8000000e+02,7.5690000e-03,1.8130000e-02
225,4.0000000e+02,5.4870000e-03,1.4170000e-02
225,4.2000000e+02,4.0140000e-03,1.1160000e-02
225,4.4000000e+02,2.9670000e-03,8.8630000e-03
225,4.6000000e+02,2.2100000e-03,7.0900000e-03
225,4.8000000e+02,1.6570000e-03,5.7070000e-03
225,5.0000000e+02,1.2510000e-03,4.6200000e-03
225,5.2000000e+02,9.4890000e-04,3.7590000e-03
225,5.4000000e+02,7.2360000e-04,3.0740000e-03
225,5.6000000e+02,5.5430000e-04,2.5240000e-03
225,5.8000000e+02,4.2640000e-04,2.0810000e-03
225,6.0000000e+02,3.2940000e-04,1.7220000e-03
225,6.2000000e+02,2.5550000e-04,1.4300000e-03
225,6.4000000e+02,1.9890000e-04,1.1910000e-03
225,6.6000000e+02,1.5550000e-04,9.9500000e-04
225,6.8000000e+02,1.2210000e-04,8.3350000e-04
225,7.0000000e+02,9.6310000e-05,7.0000000e-04
225,7.2000000e+02,7.6300000e-05,5.8930000e-04
225,7.4000000e+02,6.0740000e-05,4.9730000e-04
225,7.6000000e+02,4.8620000e-05,4.2060000e-04
225,7.8000000e+02,3.9130000e-05,3.5640000e-04
225,8.0000000e+02,3.1690000e-05,3.0270000e-04
225,8.5000000e+02,2.0000000e-05,2.0000000e-04
225,9.0000000e+02,1.2000000e-05,1.3500000e-04
225,9.5000000e+02,7.7000000e-06,9.3000000e-05
225,1.0000000e+03,5.1000000e-06,6.8000000e-05
225,1.1000000e+03,2.8000000e-06,3.4000000e-05
